City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nova vicosa,-17.8919,-39.3719,27.24,77,4,2.68,BR,1713892539
1,loango,-4.6719,11.8312,28.81,84,40,4.12,CG,1713892253
2,waitangi,-43.9535,-176.5597,13.23,90,93,5.36,NZ,1713892254
3,fortuna,40.5982,-124.1573,14.96,88,100,1.34,US,1713892539
4,kingston,17.997,-76.7936,32.87,66,20,4.12,JM,1713892245
5,maragogi,-9.0122,-35.2225,28.98,71,92,3.53,BR,1713892574
6,boende,-0.2167,20.8667,27.05,74,80,0.34,CD,1713892177
7,alice springs,-23.7,133.8833,15.75,72,75,1.54,AU,1713892258
8,dubti,11.7361,41.0853,34.94,38,47,3.22,ET,1713892260
9,alesund,62.4723,6.1549,5.74,81,75,7.2,NO,1713892348
10,praia da vitoria,38.7333,-27.0667,18.14,77,75,4.73,PT,1713892577
11,lata,40.1629,-8.3327,21.07,42,0,3.32,PT,1713892577
12,nouadhibou,20.931,-17.0347,18.06,88,65,10.09,MR,1713892578
13,mount gambier,-37.8333,140.7667,9.95,73,77,4.05,AU,1713892578
14,iqaluit,63.7506,-68.5145,-13.15,85,100,15.43,CA,1713892510
15,west island,-12.1568,96.8225,26.99,89,75,7.2,CC,1713892578
16,saipan,15.1355,145.701,26.39,83,40,4.12,MP,1713892364
17,san antonio,29.4241,-98.4936,22.79,76,100,5.14,US,1713892435
18,anadyr,64.75,177.4833,-8.72,92,75,2.0,RU,1713892578
19,buenaventura,3.8801,-77.0312,30.55,64,100,1.16,CO,1713892101
20,akureyri,65.6835,-18.0878,4.96,75,0,3.6,IS,1713892580
21,santana,-0.0583,-51.1817,31.1,66,40,4.12,BR,1713892492
22,puerto san jose,13.9256,-90.8244,31.46,60,44,4.09,GT,1713892446
23,bilibino,68.0546,166.4372,-25.07,100,25,2.41,RU,1713892581
24,holualoa,19.6228,-155.9522,21.91,91,75,0.0,US,1713892581
25,hawaiian paradise park,19.5933,-154.9731,22.73,97,100,0.45,US,1713892582
26,port-aux-francais,-49.35,70.2167,4.19,68,36,16.69,TF,1713892583
27,lebu,-37.6167,-73.65,13.73,56,1,2.61,CL,1713892583
28,port lincoln,-34.7333,135.8667,13.41,52,53,7.13,AU,1713892583
29,ushuaia,-54.8,-68.3,4.79,81,20,1.03,AR,1713892583
30,badger,64.8,-147.5333,4.52,71,75,0.0,US,1713892584
31,adamstown,-25.066,-130.1015,22.88,77,100,9.05,PN,1713892584
32,bardai,11.65,7.2333,35.92,22,100,4.57,NG,1713892584
33,bria,6.5423,21.9863,31.75,36,93,1.47,CF,1713892585
34,jining,35.405,116.5814,12.34,29,0,3.41,CN,1713892585
35,katsuura,35.1333,140.3,16.0,77,100,6.76,JP,1713892585
36,ranong,9.9658,98.6348,27.69,84,100,0.69,TH,1713892585
37,kenai,60.5544,-151.2583,4.05,74,100,5.66,US,1713892586
38,kita,13.0349,-9.4895,41.43,11,26,2.29,ML,1713892586
39,fort mcmurray,56.7268,-111.381,12.77,35,0,2.06,CA,1713892587
40,forster,-32.1667,152.5167,13.54,100,15,2.91,AU,1713892587
41,college,64.8569,-147.8028,4.56,69,75,0.45,US,1713892587
42,kondagaon,19.6,81.6667,29.81,36,44,1.8,IN,1713892588
43,grytviken,-54.2811,-36.5092,-1.01,73,46,15.26,GS,1713892589
44,mandalgovi,45.7625,106.2708,5.83,51,23,2.4,MN,1713892590
45,nadym,65.5333,72.5167,-14.46,92,24,3.73,RU,1713892593
46,olonkinbyen,70.9221,-8.7187,-1.54,75,0,3.74,SJ,1713892593
